Verkiezingsuitslagen Gemeenteraad  2010 - Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# geldige stemmen;6581330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ongeldige stemmen;17101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# blanco stemmen;14703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Percentage blanco stemmen;0,22 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# kiesgerechtigden;12216546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opkomst;6613134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opkomstpercentage;54,13 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij;# Stemmen;Percentage;# Zetels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Voorschoten;11251;22;23;0,20 %;18126;11296;62,32 %;3763;1169;2938;2004;0;1377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Voorst;10850;18;12;0,11 %;18862;10880;57,68 %;3973;0;1400;2483;663;0;0;0;0;0;365;0;1966;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vught;11094;22;9;0,08 %;19476;11125;57,12 %;2883;0;2490;1320;1262;0;1151;0;0;0;0;0;1988;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waalre;7231;19;12;0,17 %;12700;7262;57,18 %;1929;951;1712;1175;1004;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waalwijk;16862;35;39;0,23 %;36279;16936;46,68 %;5076;1839;3469;2153;1090;1351;0;1086;798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waddinxveen;11166;28;40;0,36 %;19643;11234;57,19 %;4099;1579;2541;1725;1222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wageningen;16059;27;34;0,21 %;27936;16120;57,70 %;1466;2583;2020;1600;3468;3050;878;994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wassenaar;11768;44;22;0,19 %;19544;11834;60,55 %;2755;813;4318;2296;980;606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waterland;8764;18;11;0,13 %;13448;8793;65,39 %;826;1026;2413;1756;628;1461;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Weert;21183;55;51;0,24 %;38677;21289;55,04 %;3731;2600;6112;4250;1885;553;2052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Werkendam;11768;31;18;0,15 %;20159;11817;58,62 %;3409;1922;0;3614;0;0;0;1202;1621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West Maas en Waal;8791;26;51;0,58 %;14389;8868;61,63 %;6066;0;1409;1316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Westerveld;9893;12;18;0,18 %;15409;9923;64,40 %;3305;1370;1982;1296;0;0;0;0;0;0;0;0;0;0;0;0;0;1940;0;0;0;0;0;0;0;0;0
Westervoort;5622;13;29;0,52 %;11893;5664;47,62 %;0;1546;1118;1532;668;758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Westland;47285;75;50;0,11 %;76485;47410;61,99 %;25528;0;3530;10439;1238;0;0;0;0;0;2449;0;4101;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Weststellingwerf;10544;27;24;0,23 %;20436;10595;51,84 %;1955;2796;2576;1989;0;1228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Westvoorne;6790;10;17;0,25 %;11261;6817;60,54 %;3351;796;1387;795;461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wierden;11760;19;9;0,08 %;17974;11788;65,58 %;2393;0;1468;3956;0;0;0;1630;0;0;0;0;0;0;2313;0;0;0;0;0;0;0;0;0;0;0;0
Wieringen;3469;23;14;0,40 %;6860;3506;51,11 %;1048;721;1264;436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wieringermeer;4774;10;17;0,36 %;9675;4801;49,62 %;1911;516;968;1009;0;0;0;370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wijchen;16673;26;36;0,22 %;30904;16735;54,15 %;7348;2598;1701;3406;1620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wijdemeren;10907;22;16;0,15 %;18334;10945;59,70 %;4453;1159;1835;1826;955;679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wijk bij Duurstede;9749;13;7;0,07 %;17653;9769;55,34 %;1908;1071;1823;1409;758;1377;1403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Winsum;7011;11;14;0,20 %;10726;7036;65,60 %;1190;1411;939;1121;605;871;0;874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Winterswijk;12804;16;35;0,27 %;22520;12855;57,08 %;4079;2132;2997;2280;0;0;1316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Woensdrecht;9323;23;4;0,04 %;17348;9350;53,90 %;3701;1431;1573;1638;980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Woerden;22516;42;38;0,17 %;37345;22596;60,51 %;4066;0;4477;4671;2621;0;0;1907;999;0;0;0;3676;0;0;0;0;0;0;0;0;99;0;0;0;0;0
Wormerland;6904;14;12;0,17 %;12310;6930;56,30 %;2405;903;1033;720;0;754;1089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Woudrichem;6474;13;13;0,20 %;11091;6500;58,61 %;1239;1078;956;1997;0;0;0;1204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zaanstad;56062;155;124;0,22 %;113223;56341;49,76 %;14823;10665;9042;3809;4792;4713;3818;1831;0;2569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zaltbommel;12276;20;19;0,15 %;19574;12315;62,92 %;1533;1694;1540;1757;1462;763;0;1465;2062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zandvoort;6959;22;11;0,16 %;13736;6992;50,90 %;2364;777;1844;944;498;532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zederik;6836;4;4;0,06 %;10020;6844;68,30 %;1150;916;951;1828;0;0;0;1018;973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zeevang;3106;14;12;0,39 %;4812;3132;65,09 %;1784;563;537;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zeewolde;9041;17;10;0,11 %;14797;9068;61,28 %;3471;0;1681;1244;522;0;0;1163;0;0;0;0;960;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zeist;26042;78;52;0,20 %;46708;26172;56,03 %;3888;3747;4604;2910;5218;2759;1125;0;0;0;1791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zevenaar;13292;24;10;0,08 %;25495;13326;52,27 %;5440;1853;1185;2728;824;567;695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zijpe;4996;9;12;0,24 %;9063;5017;55,36 %;2093;926;995;982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zoetermeer;47647;87;91;0,19 %;94509;47825;50,60 %;11361;7223;9823;5931;0;2912;4933;0;0;2526;2780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zoeterwoude;3610;7;9;0,25 %;6321;3626;57,36 %;0;0;593;1604;0;0;0;0;0;0;0;0;0;0;1413;0;0;0;0;0;0;0;0;0;0;0;0
Zuidhorn;9451;9;10;0,11 %;13841;9470;68,42 %;0;1639;1250;2088;698;1739;0;2037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zundert;8687;27;30;0,35 %;16813;8744;52,01 %;4032;724;1788;2143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zutphen;19803;32;26;0,13 %;36236;19861;54,81 %;5515;3815;2632;1700;1894;2201;1299;747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zwartewaterland;10719;20;6;0,06 %;15747;10745;68,24 %;1149;1765;861;1969;0;0;0;2604;2371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zwijndrecht;17063;43;31;0,18 %;35166;17137;48,73 %;3010;2842;3141;2723;1539;1310;0;0;0;0;2498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zwolle;50026;94;102;0,20 %;92479;50222;54,31 %;6835;8259;7647;7130;4186;5548;3400;7021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This file is created with Aspose.Cells for evaluation only with an Evaluation License. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
It is strictly prohibited from using it in the production of any software. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Any violation of this provision shall require a mandatory purchase of pay license ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
as well as expose the user to other legal recourse for collection and punitive damages.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
