Verkiezingsuitslagen Provinciale Staten 2011 - Nederland;;;
# geldige stemmen;6993076;;
# ongeldige stemmen;13280;;
# blanco stemmen;7573;;
Percentage blanco stemmen;0,11%;;
# kiesgerechtigden;12532127;;
Opkomst;7013929;;
Opkomstpercentage;55,97%;;

Partij;# Stemmen;Percentage;# Zetels
VVD;1368398;19,57%;112
Partij van de Arbeid (P.v.d.A.);1211111;17,32%;107
Christen Democratisch Appèl (CDA);987282;14,12%;86
PVV (Partij voor de Vrijheid);869626;12,44%;69
Socialistische Partij;710425;10,16%;56
Democraten 66;585195;8,37%;42
GROENLINKS;440687;6,30%;34
ChristenUnie;231131;3,31%;23
50PLUS;164928;2,36%;9
Staatkundig Gereformeerde Partij (SGP);152441;2,18%;12
Partij voor de Dieren;131231;1,88%;7
ChristenUnie-SGP;34285;0,49%;1
FNP;27288;0,39%;4
Ouderenpartij Noord-Holland;21354;0,31%;1
PARTIJ VOOR ZEELAND (PVZ);9456;0,14%;2
Partij voor het Noorden;9348;0,13%;1
Partij Nieuw Limburg (PNL);7749;0,11%;0
Platform Lokale Partijen;7266;0,10%;0
Unie van Democraten (De Unie);3648;0,05%;0
Provinciaal Belang Fryslân;3558;0,05%;0
Partij voor Mens en Spirit (MenS);2681;0,04%;0
Onafhankelijke Partij Drenthe O.P.D.;2460;0,04%;0
Brabant Nu;2281;0,03%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Platform Lokale Partijen Utrecht (PLU);2068;0,03%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Groenen;2058;0,03%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mooi Utrecht;1247;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solidara;1054;0,02%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DPS/Groep van Bergen/De Groenen;970;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leefbaar Almere;926;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gelderse Centrumdemocraten (Gelderse C.D.);611;0,01%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verenigd Links-Feriene Lofts;313;0,00%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;


Naam;# geldige stemmen;# ongeldige stemmen;# blanco stemmen;Percentage blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;VVD;Partij van de Arbeid (P.v.d.A.);Christen Democratisch Appèl (CDA);PVV (Partij voor de Vrijheid);Socialistische Partij;Democraten 66;GROENLINKS;ChristenUnie;50PLUS;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;PARTIJ VOOR ZEELAND (PVZ);Partij voor het Noorden;Partij Nieuw Limburg (PNL);Platform Lokale Partijen;Unie van Democraten (De Unie);Provinciaal Belang Fryslân;Partij voor Mens en Spirit (MenS);Onafhankelijke Partij Drenthe O.P.D.;Brabant Nu;Platform Lokale Partijen Utrecht (PLU);De Groenen;Mooi Utrecht;Solidara;DPS/Groep van Bergen/De Groenen;Leefbaar Almere;Gelderse Centrumdemocraten (Gelderse C.D.);Verenigd Links-Feriene Lofts
Bergen (NH);15547;17;10;0,06%;24298;15574;64,10%;4252;2432;1822;1861;1303;1487;1234;0;247;0;519;103;0;262;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0
Bergen op Zoom;24114;65;30;0,12%;50002;24209;48,42%;5290;3856;2948;4667;2519;1960;1333;0;769;0;496;226;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0
Berkelland;21031;18;17;0,08%;34846;21066;60,45%;4644;4262;4456;1897;2326;1379;885;341;404;32;307;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;16;0;16;0
Bernheze;11372;19;9;0,08%;22379;11400;50,94%;2278;1148;3065;1260;1784;731;523;0;360;0;152;44;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0
Bernisse;5529;4;10;0,18%;9835;5543;56,36%;1604;709;803;912;460;254;165;225;161;85;118;0;0;0;0;0;0;32;1;0;0;0;0;0;0;0;0;0;0;0;0
Best;11526;10;12;0,10%;21434;11548;53,88%;2603;1323;1952;1461;1527;991;538;0;704;0;180;230;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0
Beuningen;10177;10;17;0,17%;19533;10204;52,24%;2196;1641;1535;1300;1518;814;532;85;336;14;177;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;9;0;0;0
Beverwijk;14453;23;11;0,08%;29189;14487;49,63%;2685;2844;1452;2312;1567;1184;1147;0;303;0;369;137;0;421;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0
Binnenmaas;12931;19;9;0,07%;22565;12959;57,43%;3039;1865;1869;1809;1040;619;463;550;337;994;270;0;0;0;0;0;0;73;3;0;0;0;0;0;0;0;0;0;0;0;0
Bladel;7595;14;6;0,08%;14854;7615;51,27%;1516;769;1882;1051;1097;404;365;0;291;0;163;43;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
Blaricum;4781;10;6;0,13%;6952;4797;69,00%;1929;512;498;506;289;518;217;0;100;0;94;59;0;54;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
Bloemendaal;12215;14;9;0,07%;16477;12238;74,27%;4850;1309;1429;786;596;1768;769;0;129;0;309;133;0;119;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0
Boarnsterhim;9519;6;8;0,08%;14659;9533;65,03%;1735;2674;1121;630;714;489;538;178;79;0;0;0;1208;0;0;28;0;0;0;123;0;0;0;0;0;0;0;0;0;0;2
Bodegraven-Reeuwijk;15585;25;10;0,06%;24480;15620;63,81%;3898;1376;3178;1784;782;848;693;1011;301;1414;225;0;0;0;0;0;0;65;10;0;0;0;0;0;0;0;0;0;0;0;0
Boekel;4003;6;12;0,30%;7336;4021;54,81%;704;341;1222;572;638;154;145;0;136;0;70;14;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
Borger-Odoorn;11939;15;8;0,07%;20479;11962;58,41%;2273;3530;1445;1267;1165;714;579;514;240;51;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;0;19;0;0;0;0
Borne;9512;17;12;0,13%;16236;9541;58,76%;1688;1727;2244;913;1075;910;437;136;263;12;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
Borsele;10564;11;3;0,03%;17024;10578;62,14%;1474;1341;1920;1094;729;394;349;368;162;1961;185;0;0;0;587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boskoop;7017;5;9;0,13%;11071;7031;63,51%;1898;685;1317;820;462;454;399;353;125;346;136;0;0;0;0;0;0;14;8;0;0;0;0;0;0;0;0;0;0;0;0
Boxmeer;12903;21;19;0,15%;21770;12943;59,45%;2126;967;3100;1301;4017;582;421;0;167;0;139;74;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0
Boxtel;11906;36;22;0,18%;23018;11964;51,98%;2141;1667;2153;1319;1736;1241;837;0;497;0;216;82;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0
Breda;68571;137;81;0,12%;132684;68789;51,84%;16665;10767;7878;8205;7949;7886;5324;0;1752;0;1402;588;0;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;0
Brielle;6662;2;9;0,14%;12372;6673;53,94%;1768;964;638;1076;1049;401;241;104;186;34;153;0;0;0;0;0;0;46;2;0;0;0;0;0;0;0;0;0;0;0;0
Bronckhorst;18339;19;16;0,09%;29442;18374;62,41%;4567;3210;4162;1663;1480;1168;753;416;321;179;325;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;16;0;16;0
Brummen;9312;12;6;0,06%;16503;9330;56,54%;2189;2352;1159;969;829;670;477;159;211;38;190;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;22;0;6;0
Brunssum;11073;15;28;0,25%;23456;11116;47,39%;1391;1649;1516;3115;1584;403;422;193;462;0;221;0;0;0;0;0;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bunnik;7739;12;7;0,09%;10927;7758;71,00%;1748;950;1303;613;560;857;1102;143;154;114;165;0;0;0;0;0;0;0;0;0;0;0;0;22;0;8;0;0;0;0;0
Bunschoten;9109;26;5;0,05%;14733;9140;62,04%;1227;325;2673;1142;216;127;98;2654;122;452;51;0;0;0;0;0;0;0;0;0;0;0;0;10;0;12;0;0;0;0;0
Buren;11871;16;1;0,01%;19936;11888;59,63%;3373;1734;1489;1852;666;753;427;284;282;704;287;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;5;0;0;0
Bussum;14929;15;9;0,06%;23899;14953;62,57%;4877;2116;1362;1311;1012;2041;1082;0;297;0;335;297;0;176;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0
Capelle aan den IJssel;25278;62;19;0,08%;50232;25359;50,48%;4692;4102;1984;4358;2612;1823;949;1096;767;1771;592;0;0;0;0;0;0;518;14;0;0;0;0;0;0;0;0;0;0;0;0
Castricum;17963;22;10;0,06%;26796;17995;67,16%;4636;3004;2439;1828;1597;1847;1480;0;285;0;398;129;0;296;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0
Coevorden;16135;27;12;0,07%;28004;16174;57,76%;3778;4227;2659;1639;1468;831;577;435;287;72;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;12;0;0;0;0
Cranendonck;7847;2;6;0,08%;15775;7855;49,79%;1580;1069;1746;1393;991;381;241;0;229;0;152;49;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0
Cromstrijen;5783;9;4;0,07%;10084;5796;57,48%;1414;841;865;755;540;310;196;190;147;420;88;0;0;0;0;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0
Cuijk;9990;18;4;0,04%;18470;10012;54,21%;1722;1366;2018;1282;2064;674;468;0;205;0;131;36;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0
Culemborg;12120;16;12;0,10%;20189;12148;60,17%;2395;2255;1314;1609;1090;1115;1332;354;240;113;248;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;10;0;0;0
Dalfsen;13491;15;6;0,04%;20640;13512;65,47%;2201;1688;4307;1002;812;696;466;1496;379;303;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
Dantumadiel;8843;17;9;0,10%;14960;8869;59,28%;584;1625;2329;873;563;184;261;1378;102;0;0;0;806;0;0;17;0;0;0;116;0;0;0;0;0;0;0;0;0;0;5
De Bilt;22702;41;21;0,09%;32270;22764;70,54%;6028;2836;2518;2140;2097;2570;1955;691;490;776;503;0;0;0;0;0;0;0;0;0;0;0;0;49;0;49;0;0;0;0;0
De Marne;5128;10;5;0,10%;8271;5143;62,18%;697;1176;948;409;583;167;338;484;68;0;142;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Ronde Venen;20278;22;13;0,06%;32290;20313;62,91%;6534;1999;3660;2587;1072;1513;982;596;364;395;328;0;0;0;0;0;0;0;0;0;0;0;0;220;0;28;0;0;0;0;0
De Wolden;11873;17;5;0,04%;18358;11895;64,79%;3376;2274;2191;1099;710;772;583;475;157;72;0;0;0;0;0;0;0;0;0;0;0;152;0;0;0;0;12;0;0;0;0
